Iteration_Number  Configuration  Energy  Contact_count
361 drrurdru -5.3 2
362 rrrurdru -5.3 2
363 urrurdru -5.3 2
364 urrurdru -5.3 2
365 rururdru -5.3 2
366 lururdru -5.7 3
367 lururrdl -6.5 3
368 lururrdl -6.5 3
369 uururrdl -6 2
370 uururrdl -6 2
371 uruurrdl -6 2
372 druurrdl -6.5 3
373 uruurrdl -6 2
374 ruuurrdl -6 2
375 uuuurrdl -6 2
376 uuuurrdl -6 2
377 uuuurrdl -6 2
378 uuuurrdl -6 2
379 luuurrdl -6 2
380 ruuurrdl -6 2
381 ruuurrdl -6 2
382 ruuurrdl -6 2
383 ruuurrdl -6 2
384 ruuurrdl -6 2
385 ruuurrdl -6 2
386 luuurrdl -6 2
387 ruuurrdl -6 2
388 ruuurrdl -6 2
389 ruuurrdl -6 2
390 ruuurrdl -6 2
391 uuuurrdl -6 2
392 ruuurrdl -6 2
393 ruuurrdl -6 2
394 ruuurrdl -6 2
395 ruurrull -4.3 2
396 ruurrull -4.3 2
397 ruurrull -4.3 2
398 ururrull -4.3 2
399 uurrrull -4.3 2
400 lurrrull -4.8 3
401 uurrrull -4.3 2
402 rurrrull -4.3 2
403 uurrrull -4.3 2
404 uururrdl -6 2
405 uruurrdl -6 2
406 druurrdl -6.5 3
407 druurrdl -6.5 3
408 druurrdl -6.5 3
409 druurrdl -6.5 3
410 druurrdl -6.5 3
411 druurdru -5.7 3
412 rruurdru -5.3 2
413 rruurdru -5.3 2
414 rruurrdl -6 2
415 uruurrdl -6 2
416 druurrdl -6.5 3
417 druurrdl -6.5 3
418 druurrdl -6.5 3
419 rruurrdl -6 2
420 rruurrdl -6 2
421 druurrdl -6.5 3
422 druurrdl -6.5 3
423 druurrdl -6.5 3
424 druurrdl -6.5 3
425 druurrdl -6.5 3
426 druurdru -5.7 3
427 druurdru -5.7 3
428 druurdru -5.7 3
429 druurdru -5.7 3
430 lururdru -5.7 3
431 lururdru -5.7 3
432 lururdru -5.7 3
433 lururrdl -6.5 3
434 lururrdl -6.5 3
435 uururrdl -6 2
436 uururrdl -6 2
437 uururrdl -6 2
438 lururrdl -6.5 3
439 lururdru -5.7 3
440 druurdru -5.7 3
441 druurdru -5.7 3
442 uruurdru -5.3 2
443 uruurdru -5.3 2
444 uururdru -5.3 2
445 rururdru -5.3 2
446 rururdru -5.3 2
447 uururdru -5.3 2
448 uururdru -5.3 2
449 rururdru -5.3 2
450 rururdru -5.3 2
451 uururdru -5.3 2
452 uururdru -5.3 2
453 rururdru -5.3 2
454 rruurdru -5.3 2
455 rururdru -5.3 2
456 lururdru -5.7 3
457 lururrdl -6.5 3
458 druurrdl -6.5 3
459 druurrdl -6.5 3
460 druurrdl -6.5 3
461 lururrdl -6.5 3
462 druurrdl -6.5 3
463 lururrdl -6.5 3
464 uururrdl -6 2
465 uururdru -5.3 2
466 uururdru -5.3 2
467 uururdru -5.3 2
468 uururdru -5.3 2
469 uururdru -5.3 2
470 uururdru -5.3 2
471 uruurdru -5.3 2
472 uruurrdl -6 2
473 rruurrdl -6 2
474 druurrdl -6.5 3
475 druurrdl -6.5 3
476 druurrdl -6.5 3
477 druurrdl -6.5 3
478 druurrdl -6.5 3
479 druurrdl -6.5 3
480 rruurrdl -6 2
481 druurrdl -6.5 3
482 druurrdl -6.5 3
483 uruurrdl -6 2
484 uruurrdl -6 2
485 uruurrdl -6 2
486 rruurrdl -6 2
487 uruurrdl -6 2
488 druurrdl -6.5 3
489 druurrdl -6.5 3
490 druurrdl -6.5 3
491 lururrdl -6.5 3
492 lururrdl -6.5 3
493 uururrdl -6 2
494 uururrdl -6 2
495 uururdru -5.3 2
496 lururdru -5.7 3
497 lururrdl -6.5 3
498 lururrdl -6.5 3
499 lururdru -5.7 3
500 lururdru -5.7 3
501 druurdru -5.7 3
502 druurdru -5.7 3
503 druurdru -5.7 3
504 druurdru -5.7 3
505 druurrdl -6.5 3
506 druurrdl -6.5 3
507 druurrdl -6.5 3
508 druurrdl -6.5 3
509 druurrdl -6.5 3
510 lururrdl -6.5 3
511 rururrdl -6 2
512 rururrdl -6 2
513 lururrdl -6.5 3
514 lururrdl -6.5 3
515 druurrdl -6.5 3
516 druurrdl -6.5 3
517 druurrdl -6.5 3
518 druurdru -5.7 3
519 druurdru -5.7 3
520 druurdru -5.7 3
521 druurdru -5.7 3
522 druurdru -5.7 3
523 druurdru -5.7 3
524 druurdru -5.7 3
525 druurdru -5.7 3
526 uruurdru -5.3 2
527 uururdru -5.3 2
528 uruurdru -5.3 2
529 uruurdru -5.3 2
530 rruurdru -5.3 2
531 rururdru -5.3 2
532 uururdru -5.3 2
533 rururdru -5.3 2
534 rururdru -5.3 2
535 uururdru -5.3 2
